127.0.0.1 - - [26/Jul/2022:09:50:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:50:59 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:50:59 +0900] "GET /WebProject2/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:50:59 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:51:09 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:51:09 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:51:10 +0900] "GET /WebProject2/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:51:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:06 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:26 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:28 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:28 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 200 6243
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:28 +0900] "GET /WebProject2/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:54:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2022:09:56:11 +0900] "POST /WebProject2/jspCY/Netflix02_login_action.jsp HTTP/1.1" 200 239
